Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,262.378998,-493.729950,861.765930,347.874390,-443.260254,720.607178,355.466858,-293.042786,704.186157,479.230499,-365.567657,878.852844,285.138336,-204.121063,833.651245,279.347504,-348.289673,923.026733,185.101196,-496.109985,675.352783,205.884491,-223.135559,648.858459,85.056168,-290.330566,944.626709,100.841682,-251.848465,850.288147,171.757919,-336.989929,951.273865,145.714813,-396.364410,913.163940
2,0,262.408508,-493.711365,861.764587,347.894897,-443.231018,720.605652,355.476227,-293.021423,704.183594,479.246857,-365.546631,878.846436,285.153625,-204.103775,833.661133,279.375824,-348.280762,923.033875,185.134918,-496.075958,675.353455,205.913330,-223.099503,648.879333,85.068802,-290.322601,944.633057,100.862923,-251.811234,850.301514,171.782120,-336.975616,951.282776,145.748413,-396.349976,913.173706
3,0,262.412170,-493.682190,861.761719,347.902252,-443.197968,720.610046,355.487976,-292.981598,704.195007,479.267944,-365.531128,878.855713,285.171173,-204.065735,833.676025,279.392517,-348.259583,923.047852,185.154800,-496.036835,675.355713,205.920319,-223.049957,648.881958,85.097580,-290.312164,944.635742,100.903465,-251.739532,850.305725,171.806717,-336.960876,951.301880,145.758087,-396.315399,913.179688
4,0,262.432922,-493.653992,861.752502,347.915253,-443.170746,720.594971,355.502472,-292.954346,704.194336,479.294434,-365.518921,878.847595,285.204254,-204.043793,833.688538,279.405548,-348.228241,923.036743,185.173508,-495.997314,675.339050,205.951492,-223.017151,648.893799,85.106255,-290.307892,944.647156,100.918045,-251.740189,850.316895,171.840027,-336.944214,951.296936,145.775131,-396.276917,913.162354
5,0,262.441162,-493.617798,861.746460,347.931549,-443.143341,720.593018,355.524872,-292.925323,704.194336,479.308533,-365.493591,878.844788,285.220520,-204.008331,833.676147,279.419373,-348.194122,923.028870,185.178345,-495.957611,675.332458,205.973770,-222.986908,648.898926,85.110878,-290.296265,944.647888,100.916672,-251.750885,850.320862,171.857620,-336.909637,951.292114,145.795395,-396.250610,913.151001
6,0,262.468079,-493.591187,861.756104,347.957214,-443.118958,720.608154,355.550812,-292.898010,704.194458,479.327240,-365.464081,878.849915,285.241638,-203.982620,833.675110,279.444366,-348.170471,923.047607,185.183838,-495.918213,675.340149,205.995438,-222.943604,648.897400,85.132370,-290.279694,944.647461,100.910667,-251.749359,850.307861,171.896210,-336.895294,951.308655,145.820511,-396.235718,913.161438
7,0,262.487091,-493.569397,861.754211,347.983307,-443.092682,720.605774,355.558624,-292.866241,704.196289,479.342804,-365.434998,878.848816,285.254395,-203.960846,833.687073,279.466858,-348.148987,923.046570,185.198685,-495.890656,675.338196,205.986771,-222.917084,648.901672,85.166794,-290.266754,944.662231,100.924904,-251.748169,850.329163,171.896866,-336.869324,951.307129,145.829147,-396.220215,913.159485
8,0,262.509430,-493.550781,861.746216,348.005280,-443.059326,720.599854,355.567230,-292.833069,704.195862,479.366943,-365.408325,878.843506,285.247223,-203.939789,833.698303,279.481781,-348.126099,923.039856,185.227310,-495.873596,675.348816,206.007660,-222.889053,648.923828,85.190300,-290.256073,944.677734,100.953667,-251.699173,850.351379,171.934982,-336.866302,951.314270,145.869843,-396.219879,913.167419
9,0,262.511200,-493.523621,861.730530,348.015442,-443.024933,720.590942,355.570648,-292.792633,704.201172,479.376831,-365.367584,878.829712,285.256897,-203.915176,833.710510,279.494080,-348.106995,923.042480,185.230164,-495.846313,675.339661,205.989029,-222.854568,648.933228,85.205894,-290.254456,944.686829,100.964691,-251.640564,850.361816,171.936630,-336.853546,951.322083,145.865143,-396.201996,913.165894
