Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,300.069794,-65.074425,626.177673,421.952057,15.354705,521.951050,401.969269,164.031723,515.082214,472.441376,98.601128,719.216980,279.340210,221.485336,606.149597,294.752472,77.807617,692.820312,234.784454,-75.720230,436.168457,213.446884,196.535721,417.660126,94.528793,102.192932,696.282471,107.234428,143.413895,608.364441,180.719345,72.429504,711.168518,166.087509,5.827035,670.188110
2,0,300.060760,-65.043808,626.175720,421.943970,15.370847,521.935181,401.958679,164.051514,515.051392,472.448547,98.642204,719.188721,279.341339,221.521835,606.129272,294.750793,77.843781,692.806091,234.777603,-75.702850,436.167114,213.437164,196.541794,417.640198,94.533226,102.228210,696.287170,107.236214,143.445831,608.361572,180.719269,72.468048,711.156250,166.090866,5.871822,670.162598
3,0,300.049866,-65.007324,626.181274,421.912476,15.407876,521.921082,401.956818,164.070526,515.030823,472.446503,98.682144,719.172058,279.343781,221.549789,606.104248,294.751251,77.884720,692.800964,234.748489,-75.677238,436.170135,213.446030,196.567352,417.634033,94.514313,102.220581,696.264099,107.230789,143.467972,608.349976,180.715866,72.505974,711.152222,166.089264,5.913193,670.156860
4,0,300.038879,-64.974571,626.190369,421.910339,15.417768,521.932922,401.948273,164.090652,515.022705,472.443512,98.727158,719.167908,279.336273,221.578598,606.086853,294.746735,77.922462,692.797058,234.748672,-75.671326,436.184204,213.431763,196.555405,417.610443,94.516396,102.276573,696.274597,107.225204,143.491623,608.350342,180.702988,72.539261,711.142822,166.093002,5.943148,670.144409
5,0,300.028778,-64.947594,626.201843,421.896759,15.437522,521.935364,401.936798,164.077362,514.990601,472.431519,98.760986,719.160828,279.328217,221.607513,606.070251,294.735504,77.951904,692.792297,234.740814,-75.666077,436.188141,213.430405,196.570709,417.591644,94.477669,102.252090,696.234680,107.205772,143.499557,608.327209,180.691376,72.572113,711.131287,166.094574,5.975744,670.114624
6,0,300.024567,-64.925713,626.204834,421.901123,15.452589,521.936279,401.931458,164.108063,515.002808,472.423370,98.791061,719.164673,279.313751,221.617371,606.057251,294.729706,77.969635,692.792969,234.744019,-75.670631,436.193634,213.420929,196.564392,417.587433,94.508217,102.347633,696.265076,107.201309,143.529114,608.329224,180.686035,72.587746,711.126160,166.082336,6.009076,670.094116
7,0,300.030457,-64.906853,626.234131,421.914185,15.455148,521.968384,401.929626,164.124542,515.007568,472.413422,98.833931,719.175964,279.306488,221.640106,606.056580,294.725037,77.997482,692.800964,234.763107,-75.679649,436.231567,213.421158,196.561722,417.589966,94.494514,102.347832,696.251709,107.195724,143.569626,608.324463,180.679367,72.610603,711.124329,166.094849,6.035574,670.056946
8,0,300.034271,-64.888565,626.261475,421.922241,15.460873,521.996643,401.935577,164.140579,515.015991,472.416656,98.866074,719.189575,279.309021,221.654251,606.052368,294.729462,78.017021,692.813843,234.764099,-75.684853,436.255829,213.432510,196.568115,417.605865,94.479774,102.356621,696.237793,107.194359,143.626358,608.337402,180.680267,72.625282,711.123718,164.788834,7.549876,668.656494
9,0,300.068726,-64.889046,626.309387,421.932922,15.475184,522.019897,401.941010,164.146698,515.024719,472.418762,98.897987,719.207703,279.308228,221.680115,606.055420,294.733612,78.041588,692.827332,234.794647,-75.705177,436.296631,213.427719,196.525970,417.573914,94.519646,102.445068,696.262695,107.218971,143.696289,608.358521,180.683167,72.657021,711.124878,166.131989,6.133250,669.955261
10,0,300.044434,-64.837448,626.321716,421.951294,15.481879,522.059265,401.964172,164.160522,515.029602,472.419250,98.938705,719.233582,279.320099,221.690857,606.041626,294.736084,78.074661,692.838257,234.784302,-75.682655,436.306671,213.444489,196.521301,417.570862,94.508736,102.448692,696.246216,107.218079,143.715790,608.338196,180.689087,72.688637,711.124023,166.134628,6.176990,669.926514
11,0,300.053497,-64.819534,626.365967,421.975983,15.474469,522.114990,401.976898,164.163651,515.053101,472.412292,98.972458,719.265564,279.316589,221.702820,606.041321,294.734802,78.099693,692.862793,234.807388,-75.705276,436.363861,213.477783,196.535645,417.594910,94.531540,102.511406,696.262573,107.212891,143.748810,608.344910,180.686829,72.721474,711.131226,166.143723,6.225494,669.910828
