Trajectories
100
,,jamsling:arm1,,,jamsling:arm2,,,jamsling:arm3,,,jamsling:arm4,,,jamsling:shoulder1,,,jamsling:shoulder2,,,jamsling:shoulder3,,,jamsling:shoulder4,,,jamsling:torso1,,,jamsling:torso2,,,jamsling:torso3,,,jamsling:torso4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,366.443512,-343.171356,875.231812,483.736084,-261.587158,766.125366,456.329773,-113.482185,752.405518,529.801147,-166.048584,959.065063,330.932922,-58.030712,840.820801,353.672607,-197.438751,934.492554,300.959808,-367.060089,686.479187,265.835175,-96.477119,654.376343,155.223557,-183.351944,936.543274,164.265091,-144.396835,845.004456,241.089188,-208.345123,953.661072,228.436966,-277.125336,915.107788
2,0,366.488007,-343.163940,875.221497,483.755676,-261.571655,766.103027,456.339539,-113.454224,752.378845,529.834717,-166.022827,959.033569,330.940338,-58.029732,840.793884,353.696960,-197.424316,934.470215,300.987030,-367.064728,686.475525,265.827393,-96.506775,654.348755,155.252136,-183.377197,936.509827,164.290894,-144.393768,844.991333,241.112457,-208.341537,953.651184,228.468277,-277.126007,915.105835
3,0,366.515137,-343.154266,875.201843,483.769592,-261.556244,766.069885,456.334076,-113.475533,752.342285,529.852539,-165.991089,958.991760,330.947052,-58.014118,840.779968,353.723114,-197.419174,934.451965,300.999176,-367.066010,686.454163,265.823914,-96.513336,654.322021,155.266144,-183.364441,936.513672,164.274826,-144.483322,844.953247,241.123016,-208.335800,953.631042,228.473068,-277.113831,915.088501
4,0,366.552643,-343.149872,875.195679,483.791382,-261.550751,766.049683,456.344147,-113.468399,752.315552,529.875305,-165.963058,958.959473,330.958191,-58.018986,840.755981,353.745148,-197.407837,934.441589,301.024902,-367.075623,686.459290,265.816742,-96.556419,654.311157,155.291962,-183.329391,936.516479,164.293152,-144.490570,844.949280,241.153000,-208.332077,953.627991,228.515686,-277.117615,915.096436
5,0,366.569702,-343.136902,875.188599,483.803497,-261.540497,766.034058,456.336884,-113.481247,752.276367,529.896484,-165.940033,958.932922,330.969147,-57.992554,840.732056,353.755768,-197.383438,934.419617,301.048065,-367.083618,686.463684,265.814850,-96.542732,654.301392,155.282074,-183.359375,936.500122,164.315292,-144.447021,844.946533,241.164261,-208.307510,953.625000,228.532532,-277.108734,915.104858
6,0,366.609222,-343.131531,875.177246,483.827545,-261.542450,766.006287,456.355377,-113.500099,752.238098,529.926270,-165.916702,958.895386,330.979401,-58.016300,840.696899,353.787415,-197.379410,934.400085,301.061462,-367.093933,686.449646,265.817535,-96.580811,654.269470,155.294250,-183.392914,936.483704,164.305237,-144.550430,844.916565,241.192703,-208.301865,953.603271,228.557190,-277.102539,915.097900
7,0,366.631317,-343.121338,875.167114,483.845856,-261.538208,765.982422,456.375275,-113.469139,752.209839,529.957397,-165.897079,958.864502,331.018127,-57.952755,840.685547,353.826111,-197.366257,934.385986,301.072632,-367.102814,686.449707,265.838806,-96.575623,654.250427,155.337631,-183.355225,936.488464,164.340134,-144.529922,844.909668,241.216614,-208.286087,953.597717,228.584229,-277.096771,915.100830
8,0,366.684357,-343.118347,875.191284,483.877350,-261.541595,765.987610,456.391418,-113.529526,752.166016,529.993225,-165.876541,958.851013,331.036743,-57.972755,840.648804,353.854706,-197.346024,934.376770,301.113678,-367.119904,686.480835,265.840576,-96.630745,654.222839,155.360046,-183.360733,936.465393,164.356049,-144.548416,844.878052,241.247147,-208.272949,953.603516,228.617096,-277.091370,915.123962
9,0,366.700165,-343.109802,875.186035,483.900513,-261.543976,765.980164,456.428619,-113.472740,752.169556,530.020996,-165.859344,958.832703,331.056732,-57.978893,840.636230,353.887054,-197.340958,934.369080,301.121521,-367.125671,686.481018,265.873718,-96.591675,654.238037,155.382339,-183.392624,936.462585,164.396240,-144.539337,844.881165,241.276276,-208.275879,953.595947,228.633179,-277.088074,915.122314
